batch_id,task_id,arrival_time_seconds,observable_by_satellites,reward,observation_duration,memory_usage,latitude,longitude
1,1,2901,Satellite7,11,14,5,41.3966124809973,123.15313509858706
1,2,2380,Satellite3,5,6,13,17.380828415230162,89.89567799441942
1,3,289,Satellite6,13,10,13,20.737277747637087,132.10111415698628
1,4,2182,Satellite3,11,13,5,32.946777326054345,89.91662471899444
1,5,685,"Satellite5, Satellite1",12,14,9,33.11454660252951,100.92210497134603
1,6,363,Satellite1,15,10,13,43.104279963571095,110.72981210980686
1,7,581,"Satellite6, Satellite1",11,12,5,29.057592855457568,81.0115350247627
1,8,335,"Satellite5, Satellite1",6,15,12,44.95742555325835,125.0278754023254
1,9,1843,Satellite3,10,11,5,5.172127518367223,86.72649293112734
1,10,2672,Satellite7,6,12,11,29.140892927108883,88.44003021922049
2,1,315,Satellite1,11,7,8,43.104279963571095,110.72981210980686
2,2,689,"Satellite5, Satellite1",7,10,5,33.11454660252951,100.92210497134603
2,3,2682,Satellite7,11,8,11,29.140892927108883,88.44003021922049
2,4,2031,Satellite3,7,8,8,45.64806075113342,127.23615996135834
2,5,148,Satellite6,9,15,9,29.577595238640654,124.9227634779127
2,6,642,Satellite5,13,9,14,25.208027332807724,78.32975501123695
2,7,1675,Satellite3,11,9,7,33.167329187228646,114.09177826133697
2,8,2898,Satellite7,10,6,11,41.3966124809973,123.15313509858706
2,9,594,"Satellite6, Satellite1",15,7,7,29.057592855457568,81.0115350247627
2,10,381,Satellite6,15,14,7,31.684026099611188,106.03219420173824
3,1,2040,Satellite3,9,14,9,9.997682258471672,88.57500293152562
3,2,652,"Satellite6, Satellite1",13,14,7,29.057592855457568,81.0115350247627
3,3,2433,Satellite3,14,6,6,17.380828415230162,89.89567799441942
3,4,2993,Satellite7,5,8,8,41.3966124809973,123.15313509858706
3,5,332,Satellite6,14,11,15,18.845556819732508,130.27544357455992
3,6,2688,Satellite7,14,9,12,29.140892927108883,88.44003021922049
3,7,1010,Satellite5,8,12,13,15.718012158300452,91.35861509512978
3,8,3111,Satellite7,13,9,13,26.91427492897,84.34089420947441
3,9,1862,Satellite3,6,14,11,7.16336603696485,83.16941106349591
3,10,578,"Satellite5, Satellite1",15,12,14,26.76179838306963,107.2277010923288
4,1,2217,Satellite3,12,6,15,32.946777326054345,89.91662471899444
4,2,693,"Satellite5, Satellite1",9,6,12,33.11454660252951,100.92210497134603
4,3,2095,Satellite3,15,12,11,45.64806075113342,127.23615996135834
4,4,276,"Satellite5, Satellite1",15,7,10,44.95742555325835,125.0278754023254
4,5,3098,Satellite7,8,12,15,26.91427492897,84.34089420947441
4,6,1661,Satellite3,8,8,12,33.167329187228646,114.09177826133697
4,7,811,"Satellite6, Satellite1",7,12,13,11.177807880302762,76.76065232791254
4,8,487,Satellite5,5,12,11,14.584233539977967,114.90403983369075
4,9,356,Satellite6,10,9,10,31.684026099611188,106.03219420173824
4,10,2049,Satellite3,9,12,7,9.997682258471672,88.57500293152562
5,1,3010,Satellite7,13,15,14,26.814356047919233,104.43544219929856
5,2,3243,Satellite7,15,6,8,9.340595981719089,93.81555129615762
5,3,1680,Satellite5,13,5,9,35.46059612508821,101.26096295056132
5,4,2757,Satellite3,8,7,11,45.06598355987475,122.83591917601566
5,5,317,"Satellite5, Satellite1",7,8,12,45.168404682116766,86.20387673206228
5,6,2847,Satellite3,8,8,5,13.688017606772199,89.07619589994614
5,7,586,"Satellite5, Satellite1",8,12,9,26.76179838306963,107.2277010923288
5,8,378,Satellite6,13,8,14,31.684026099611188,106.03219420173824
5,9,297,Satellite6,14,11,15,20.737277747637087,132.10111415698628
5,10,1251,Satellite5,15,14,5,47.77921545189034,124.34463627147576
6,1,1876,Satellite3,14,8,12,5.172127518367223,86.72649293112734
6,2,626,Satellite5,13,13,8,25.208027332807724,78.32975501123695
6,3,2484,Satellite3,9,9,15,17.380828415230162,89.89567799441942
6,4,2076,Satellite3,8,11,5,9.997682258471672,88.57500293152562
6,5,331,Satellite1,10,8,7,43.104279963571095,110.72981210980686
6,6,341,Satellite6,13,13,14,31.684026099611188,106.03219420173824
6,7,2440,Satellite4,8,8,13,10.919952393606112,90.78969927995004
6,8,1562,Satellite3,7,9,13,33.167329187228646,114.09177826133697
6,9,2697,Satellite7,10,9,7,29.140892927108883,88.44003021922049
6,10,657,"Satellite6, Satellite1",13,15,6,29.057592855457568,81.0115350247627
7,1,1195,Satellite5,9,14,9,19.684474938482296,115.56995837874791
7,2,1170,"Satellite5, Satellite1",14,12,10,12.179396375974497,86.12707047619517
7,3,300,Satellite6,9,6,5,20.737277747637087,132.10111415698628
7,4,304,"Satellite5, Satellite1",7,13,11,44.95742555325835,125.0278754023254
7,5,2901,Satellite7,7,13,5,31.98646804499802,105.67759599731812
7,6,356,Satellite1,11,14,8,43.104279963571095,110.72981210980686
7,7,2978,Satellite7,10,7,9,41.3966124809973,123.15313509858706
7,8,1911,Satellite3,5,14,7,5.172127518367223,86.72649293112734
7,9,249,Satellite6,11,15,6,23.61086627652704,90.83140408121113
7,10,438,Satellite5,7,8,10,14.584233539977967,114.90403983369075
8,1,1989,Satellite3,15,10,6,45.64806075113342,127.23615996135834
8,2,1931,Satellite3,8,14,11,7.16336603696485,83.16941106349591
8,3,300,"Satellite5, Satellite1",6,9,11,44.95742555325835,125.0278754023254
8,4,2986,Satellite7,5,15,8,31.98646804499802,105.67759599731812
8,5,594,"Satellite6, Satellite1",8,15,5,29.057592855457568,81.0115350247627
8,6,1601,Satellite5,9,11,9,35.46059612508821,101.26096295056132
8,7,437,Satellite5,6,11,9,14.584233539977967,114.90403983369075
8,8,3064,Satellite7,8,10,5,26.91427492897,84.34089420947441
8,9,2502,Satellite4,12,8,11,10.919952393606112,90.78969927995004
8,10,759,"Satellite5, Satellite1",9,13,7,33.11454660252951,100.92210497134603
9,1,536,"Satellite5, Satellite1",6,8,15,26.76179838306963,107.2277010923288
9,2,865,"Satellite6, Satellite1",7,14,11,11.177807880302762,76.76065232791254
9,3,2153,Satellite3,15,11,15,32.946777326054345,89.91662471899444
9,4,103,Satellite6,14,10,10,29.577595238640654,124.9227634779127
9,5,1186,Satellite5,13,9,13,19.684474938482296,115.56995837874791
9,6,3313,Satellite7,5,12,9,9.340595981719089,93.81555129615762
9,7,2993,Satellite7,8,6,6,31.98646804499802,105.67759599731812
9,8,2393,Satellite3,13,14,7,17.380828415230162,89.89567799441942
9,9,918,Satellite5,14,9,11,15.718012158300452,91.35861509512978
9,10,400,Satellite1,11,8,7,43.104279963571095,110.72981210980686
10,1,1236,Satellite5,13,6,13,19.684474938482296,115.56995837874791
10,2,1667,Satellite3,13,10,11,33.167329187228646,114.09177826133697
10,3,386,Satellite6,11,11,9,31.684026099611188,106.03219420173824
10,4,2869,Satellite3,9,14,11,45.06598355987475,122.83591917601566
10,5,1196,Satellite5,8,15,6,47.77921545189034,124.34463627147576
10,6,2429,Satellite4,7,6,14,10.919952393606112,90.78969927995004
10,7,1595,Satellite5,8,7,8,35.46059612508821,101.26096295056132
10,8,295,"Satellite5, Satellite1",7,13,7,44.95742555325835,125.0278754023254
10,9,1925,Satellite3,5,14,13,7.16336603696485,83.16941106349591
10,10,240,Satellite6,11,11,14,20.737277747637087,132.10111415698628
