batch_id,task_id,arrival_time_seconds,observable_by_satellites,reward,observation_duration,memory_usage,latitude,longitude
1,1,16,Satellite6,13,13,15,30.503939749789687,102.98837306891355
1,92,62,Satellite6,12,14,7,22.683084127160654,101.66260499514568
1,27,71,"Satellite6, Satellite1",8,14,10,39.68545555231486,116.12238429059006
1,32,88,Satellite2,15,9,13,4.7823726308839385,89.47796227297383
1,57,125,"Satellite6, Satellite1",13,13,11,51.93317532570703,119.64594494604171
1,39,223,"Satellite1, Satellite5",9,9,7,48.37555858185523,122.02412155078738
1,34,227,Satellite6,8,14,10,18.86270545654432,117.0541450305211
1,24,249,Satellite6,13,5,10,27.148792527663876,78.37001258883605
1,13,297,"Satellite6, Satellite1",11,8,12,36.42011011026807,95.23690950620858
1,22,352,"Satellite6, Satellite1",9,9,7,19.27865311575536,86.26792637118434
1,85,364,"Satellite6, Satellite1",14,8,10,29.126844429521583,107.63408469909601
1,74,414,Satellite5,7,8,10,51.043266807623866,129.181935545942
1,49,569,Satellite1,8,15,15,35.52911351914495,76.16417851196344
1,81,625,Satellite5,9,10,9,46.19745028079445,118.56887887440179
1,84,786,"Satellite1, Satellite5",5,11,15,25.76790035549634,110.89915502029984
1,41,817,Satellite5,9,8,13,31.021447314868592,132.27541893451402
1,7,905,Satellite5,8,7,12,35.78750594948596,93.43530663025837
1,76,906,Satellite5,14,12,8,33.85565355509347,86.54349425033722
1,16,953,"Satellite1, Satellite5",5,11,13,14.234793093365901,88.35938554496391
1,93,1004,Satellite5,15,9,9,32.67284018598628,74.83460864267464
1,20,1127,Satellite5,9,9,15,30.266696035633377,82.31881402293102
1,45,1193,Satellite5,14,13,12,14.799016694556286,98.2753225319315
1,86,1224,Satellite5,7,15,12,22.6396340823561,93.45728126529158
1,4,1414,Satellite5,6,6,15,7.246508308186902,97.21826503475424
1,33,1501,Satellite5,8,14,13,6.7647337676444845,81.55528858389987
1,62,1665,Satellite5,11,10,8,3.5926188981676517,90.20933878015927
1,60,1700,Satellite3,7,6,6,44.064492375300716,90.00280113984545
1,70,1774,Satellite3,6,5,15,34.76215626283103,91.6976785212319
1,78,1801,Satellite3,9,11,15,36.027236610135525,98.46751659577278
1,21,1892,Satellite3,7,14,12,41.89266200971377,108.61528144619211
1,15,2096,Satellite3,10,8,5,29.321204287083923,80.88094061063249
1,58,2162,Satellite4,12,13,14,45.23974585160904,119.28489531776822
1,18,2189,Satellite3,7,14,13,13.517742240129396,89.4613515089345
1,8,2229,Satellite3,14,13,9,15.237801034990392,81.75812451981434
1,46,2261,Satellite3,12,13,12,34.55743493059764,112.10575341009736
1,51,2261,Satellite3,6,13,13,50.91012609572057,78.87341446499943
1,98,2345,Satellite3,5,11,7,7.041244182435033,97.24198149361855
1,61,2453,Satellite7,12,14,6,41.141113841287904,99.12735596530356
1,88,2458,Satellite4,6,11,9,35.58695660749097,116.30820170637499
1,5,2474,Satellite3,6,6,8,11.162326242423346,98.36533400099344
1,53,2489,Satellite4,14,15,8,29.31037374064793,127.90157113205262
1,65,2546,Satellite4,10,14,13,33.91690367263615,112.55584493011122
1,100,2599,"Satellite7, Satellite4",12,6,15,42.401901333277564,128.71855419105844
1,31,2614,Satellite7,15,11,6,49.48747663161018,102.68840037437546
1,2,2633,Satellite7,9,13,6,39.63617043982756,99.83580009293462
1,25,2713,Satellite7,13,11,8,50.29360456271948,124.23513643850458
1,38,2752,Satellite7,7,13,7,23.68316788727343,106.3126195145854
1,59,2760,Satellite4,8,12,9,27.88301591048402,127.77118760447154
1,47,2783,Satellite7,7,10,12,51.83660761205388,85.21047251603362
1,89,2825,Satellite3,5,6,8,14.266094250710745,92.54637636865412
1,17,2920,Satellite7,14,12,13,42.77414858550997,123.38429472888888
1,52,3023,Satellite7,6,7,10,15.586891505005887,93.6535241196647
1,71,3078,Satellite7,13,6,9,7.501289900755978,79.7509505817644
1,90,3153,Satellite7,13,13,6,17.234833494931912,86.23997625243474
1,23,3178,Satellite7,12,9,8,31.786348732535238,103.82309031813094
1,55,3203,Satellite7,5,15,11,20.075608437891216,74.95699143075088
1,30,3255,Satellite4,11,5,6,4.2724794534441415,124.54161448454292
1,95,3280,Satellite7,12,7,5,22.177114214579493,96.33212343427354
1,50,3304,Satellite7,11,11,12,28.894095554596184,82.00716984795112
1,9,3369,Satellite7,12,11,10,19.145851991274185,110.25331894457813
1,66,3399,Satellite7,6,7,11,30.03736412160899,83.80365393548645
1,40,3446,Satellite7,5,15,10,7.697284452544381,97.32026231770816
1,67,3589,Satellite7,12,9,7,18.422303623348938,82.71397151320946
2,29,17,Satellite6,6,8,7,35.91281931342967,86.6184536050962
2,59,30,Satellite6,10,13,15,25.23732847033002,102.07635712170217
2,4,59,Satellite2,6,8,14,3.217228942483394,77.59005779626007
2,33,95,"Satellite6, Satellite1",9,15,12,47.69053277953811,131.75192024182564
2,69,159,Satellite6,15,15,9,16.86801939363867,96.43425534920057
2,32,235,"Satellite6, Satellite1",13,7,10,23.020190897078148,104.36909815963872
2,25,290,Satellite6,13,5,5,8.868795076187727,116.42780625001895
2,88,291,Satellite6,9,13,10,13.999604987175493,121.61063615877944
2,86,445,"Satellite6, Satellite1",15,6,5,17.1175559906957,90.1469800173734
2,27,490,"Satellite6, Satellite1",7,11,10,27.887554530594574,102.1560639161425
2,100,496,"Satellite1, Satellite5",13,12,6,47.43593216211546,100.37268656269387
2,80,497,"Satellite6, Satellite1",15,5,11,30.02971826623422,109.71327321568896
2,90,534,Satellite5,13,13,6,41.0637970511568,132.85726104778126
2,71,578,"Satellite1, Satellite5",11,13,12,33.41797805029394,120.3649384072547
2,50,582,Satellite6,15,6,10,6.163901805022007,115.11591826554985
2,44,708,Satellite6,9,12,12,10.97787458145316,116.64277704563793
2,14,714,"Satellite6, Satellite1",5,15,12,9.387533474189732,85.6528086743974
2,77,798,Satellite5,13,5,8,33.05664647869172,126.97948752540535
2,95,839,Satellite5,8,9,6,23.454736758144165,127.80910906843174
2,87,843,Satellite5,14,13,9,39.1413959040422,106.33735841422367
2,66,847,Satellite5,9,8,7,35.23568407517889,114.78679335047491
2,9,855,"Satellite1, Satellite5",8,11,6,26.215644088483998,77.24649686218004
2,98,872,"Satellite1, Satellite5",12,6,5,30.096561755014502,94.73081710909064
2,34,907,Satellite5,10,6,14,29.393450268799146,112.96892006359792
2,85,912,Satellite5,14,12,13,41.178442763394465,95.77397358911071
2,91,914,"Satellite1, Satellite5",6,10,5,18.227929208801243,98.71972198992796
2,18,928,Satellite5,9,9,11,39.361759954230735,106.5842394369096
2,47,978,"Satellite1, Satellite5",12,8,15,4.7460490740267565,106.97057482669666
2,36,987,Satellite5,12,15,11,50.02656723417657,87.36380644700971
2,73,1080,"Satellite1, Satellite5",7,10,9,8.99590788297789,85.49949199458307
2,38,1306,Satellite5,7,13,12,33.930755880636326,94.72947037338793
2,62,1504,Satellite5,11,13,10,4.298280874234176,90.52340201814687
2,13,1521,Satellite5,9,8,14,4.700974335240534,114.52482598516934
2,55,1671,Satellite5,11,12,8,10.581212346722838,95.06229692063327
2,53,1712,Satellite3,7,14,9,42.112655153361445,126.05203771410092
2,64,1760,Satellite3,8,11,8,38.27763187606249,113.95489584672563
2,35,1985,Satellite3,5,10,8,24.713503300044675,82.22182375338302
2,43,2041,Satellite3,9,15,6,46.15060173738019,75.27761916420174
2,20,2111,Satellite3,5,6,10,35.59632248007942,100.8505314821592
2,89,2182,Satellite4,13,15,12,42.489469757185695,128.0004803206775
2,15,2272,Satellite3,10,14,10,16.964777927327294,95.1894366485563
2,5,2299,Satellite3,14,6,8,23.273188264197618,99.5363535045249
2,31,2303,Satellite3,14,13,9,20.50799324000752,100.67036118144185
2,42,2313,Satellite3,5,13,11,50.814325654517795,81.8397728483738
2,3,2457,Satellite3,9,13,6,36.84988890725582,93.49638097068559
2,83,2496,Satellite3,7,5,7,31.530857904175065,92.28139261224602
2,93,2496,"Satellite7, Satellite4",9,14,15,46.91246561937317,130.14412734569862
2,51,2542,Satellite3,13,5,10,3.55776386219224,94.45586418750798
2,97,2645,Satellite3,15,14,9,6.085669711572637,82.03985521892912
2,54,2658,Satellite7,15,12,15,35.68068180394595,103.46645943653238
2,56,2745,Satellite4,5,5,6,18.098794244252147,130.1414957045381
2,52,2758,Satellite3,14,8,8,21.034803593557918,93.69019719481972
2,21,2776,Satellite7,7,11,15,35.558434167547254,78.84732898532063
2,76,2828,Satellite7,13,8,15,24.418821135690287,104.42695200303905
2,99,2892,Satellite4,5,10,7,18.574792676617054,114.57397947419949
2,67,2912,Satellite7,14,13,13,24.729000678691555,101.33614563267781
2,96,2950,Satellite7,13,9,10,41.789803020774656,94.14565044697858
2,75,2985,Satellite4,14,10,14,8.354232250675139,109.87080736941851
2,81,3059,Satellite4,8,13,5,10.532117583980131,130.7603851234396
2,8,3203,Satellite7,13,6,7,16.631530706525396,74.15852298498861
2,70,3250,Satellite7,12,14,9,14.299029234431584,90.15571684722673
2,10,3302,Satellite7,6,15,13,5.75093622592637,105.10694763775788
2,48,3338,Satellite7,12,13,6,8.299555381474637,103.4400983397459
2,65,3436,Satellite7,9,7,11,27.001721856034298,86.80067292998382
2,19,3494,Satellite7,14,7,8,8.274235786015641,92.60784807345111
2,7,3514,Satellite7,6,6,6,4.618103560872869,91.18398432375483
3,87,173,"Satellite6, Satellite1",9,10,5,43.28536813139014,96.68702333084548
3,80,255,Satellite6,14,5,6,24.0418991351585,113.70325352142817
3,1,359,Satellite1,10,7,15,40.21875228829894,79.50383340016465
3,47,397,"Satellite6, Satellite1",6,13,13,28.198736911968485,83.84714145752861
3,21,413,Satellite6,9,9,8,17.037035195332223,127.27877629836948
3,97,550,Satellite5,8,9,12,49.392298584317714,111.16060513897864
3,3,573,"Satellite6, Satellite1",12,14,15,6.712668166614597,95.2198425417356
3,41,599,Satellite5,11,8,9,45.59493533564118,130.20996788738756
3,24,628,"Satellite1, Satellite5",8,10,12,44.75931962041921,93.9374829484487
