batch_id,task_id,arrival_time_seconds,observable_by_satellites,reward,observation_duration,memory_usage,latitude,longitude
1,6,12,Satellite6,13,10,15,32.440745831449604,111.6418735097197
1,10,118,Satellite6,9,8,5,16.72560575740002,107.10795482938963
1,2,266,"Satellite6, Satellite1",15,12,12,27.062259851844857,110.80004268399605
1,26,474,Satellite6,9,14,11,10.811971541130553,121.51781315786215
1,20,542,"Satellite6, Satellite1",8,14,15,27.466251794967874,113.52899603225711
1,5,746,"Satellite1, Satellite5",10,9,7,31.838976079357582,85.85211827776243
1,21,750,Satellite5,9,6,10,36.88899786111476,113.07374201634009
1,30,775,"Satellite1, Satellite5",6,5,8,29.557426421878876,76.9854711649478
1,3,1514,Satellite5,11,8,15,15.34074224326253,92.56485250540877
1,13,1720,Satellite3,5,7,12,48.622465017694985,122.01998194070728
1,24,1731,Satellite3,12,15,7,51.36506899930173,109.77195584681164
1,27,2352,Satellite3,12,6,9,21.833978867495844,97.03603255591267
1,16,2354,Satellite3,10,12,11,39.76605672822701,82.87297585043845
1,9,2413,Satellite3,5,13,15,18.42691210389936,85.93136198322847
1,29,2488,Satellite3,12,9,9,14.481510600775803,76.70329572291357
1,11,2545,"Satellite7, Satellite4",6,11,11,48.8782799793662,121.43809704507275
1,1,2605,Satellite3,5,9,8,6.124946828954156,101.99069073659197
1,12,2774,Satellite4,9,12,6,28.61735878896771,121.25278448784525
1,15,2908,Satellite7,7,8,13,46.02639466930873,76.40615680476127
1,8,2952,Satellite7,14,5,6,37.60196282715465,102.9708505140011
1,14,3024,Satellite7,10,15,5,42.40473423485405,103.01409216194816
1,4,3065,Satellite7,14,5,14,41.700661210662105,97.56046960650814
1,22,3095,Satellite7,11,10,10,14.587405662849697,106.02585722428921
1,19,3520,Satellite7,12,13,8,6.711300120498767,89.56154281932153
1,23,3547,Satellite7,8,6,14,6.429736430062846,89.14829585294834
2,2,100,"Satellite6, Satellite1",15,8,5,49.22076001686747,94.53915484243466
2,6,364,Satellite6,9,14,10,5.678474512103862,91.7072850105386
2,25,415,"Satellite6, Satellite1",10,15,11,13.11826307914301,87.23222592625278
2,1,473,Satellite6,13,5,5,9.928182609857725,124.08417298049652
2,19,669,"Satellite1, Satellite5",9,14,8,27.226593131788576,102.13010817447234
2,23,820,"Satellite1, Satellite5",6,5,15,29.448554240247944,74.63353982600776
2,11,975,Satellite5,8,15,7,50.41482791440348,123.39398355759727
2,9,1303,Satellite5,14,15,14,11.83238969088479,74.45064716695143
2,18,1530,Satellite5,7,10,9,8.962307634069774,113.2198499474441
2,30,2393,Satellite4,11,13,6,36.13449528552667,128.3617049603892
2,16,2427,Satellite3,15,11,6,29.319588168624637,83.20404742388205
2,4,2432,Satellite3,12,13,11,6.137756122664509,88.20053027613456
2,13,2455,Satellite7,12,11,14,52.45015687327384,110.08147730809898
2,26,2475,Satellite4,7,10,10,21.64457734343585,132.9035487817784
2,28,2526,Satellite3,14,9,6,15.463176285084632,91.01659995542731
2,15,2565,Satellite3,12,11,8,30.809539218342742,94.30491503386826
2,3,2613,Satellite4,14,8,10,25.699337617742028,132.5582338604584
2,29,2623,Satellite4,14,13,10,20.35852857366369,119.15224821433958
2,5,2703,Satellite7,7,12,9,28.746745749411996,97.49102137601885
2,24,3174,Satellite7,11,9,11,15.222213227635558,86.08038293517711
2,12,3209,Satellite7,11,5,6,13.674876396105237,112.74785703934582
