batch_id,task_id,satellite,intervals
1,1,Satellite1,"(('18 Aug 2018 04:05:32.736', '18 Aug 2018 04:18:20.309'),)"
1,1,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:57:45.905'),)"
1,1,Satellite3,"(('18 Aug 2018 04:34:54.965', '18 Aug 2018 04:44:59.000'),)"
1,1,Satellite5,"(('18 Aug 2018 04:12:38.234', '18 Aug 2018 04:27:22.222'),)"
1,1,Satellite6,"(('18 Aug 2018 04:00:25.060', '18 Aug 2018 04:13:23.115'),)"
1,2,Satellite1,"(('18 Aug 2018 03:58:48.535', '18 Aug 2018 04:09:11.619'),)"
1,2,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:49:09.501'),)"
1,2,Satellite3,"(('18 Aug 2018 04:27:50.834', '18 Aug 2018 04:36:15.888'),)"
1,2,Satellite4,"(('18 Aug 2018 04:36:52.527', '18 Aug 2018 04:44:59.000'),)"
1,2,Satellite5,"(('18 Aug 2018 04:05:20.915', '18 Aug 2018 04:18:52.117'),)"
1,2,Satellite6,"(('18 Aug 2018 03:53:10.540', '18 Aug 2018 04:05:39.430'),)"
1,2,Satellite7,"(('18 Aug 2018 04:40:53.360', '18 Aug 2018 04:44:59.000'),)"
1,3,Satellite1,"(('18 Aug 2018 03:59:45.603', '18 Aug 2018 04:12:06.525'),)"
1,3,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:51:41.474'),)"
1,3,Satellite3,"(('18 Aug 2018 04:28:33.421', '18 Aug 2018 04:39:48.478'),)"
1,3,Satellite5,"(('18 Aug 2018 04:06:37.624', '18 Aug 2018 04:21:14.560'),)"
1,3,Satellite6,"(('18 Aug 2018 03:54:30.461', '18 Aug 2018 04:07:33.671'),)"
1,3,Satellite7,"(('18 Aug 2018 04:41:44.655', '18 Aug 2018 04:44:59.000'),)"
1,4,Satellite1,"(('18 Aug 2018 04:04:11.736', '18 Aug 2018 04:16:28.169'),)"
1,4,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:56:02.529'),)"
1,4,Satellite3,"(('18 Aug 2018 04:33:35.737', '18 Aug 2018 04:43:40.803'),)"
1,4,Satellite5,"(('18 Aug 2018 04:11:07.614', '18 Aug 2018 04:25:40.506'),)"
1,4,Satellite6,"(('18 Aug 2018 03:58:51.733', '18 Aug 2018 04:11:52.813'),)"
1,5,Satellite1,"(('18 Aug 2018 04:03:38.018', '18 Aug 2018 04:14:21.781'),)"
1,5,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:54:16.620'),)"
1,5,Satellite3,"(('18 Aug 2018 04:33:34.442', '18 Aug 2018 04:40:47.566'),)"
1,5,Satellite5,"(('18 Aug 2018 04:10:12.864', '18 Aug 2018 04:24:02.066'),)"
1,5,Satellite6,"(('18 Aug 2018 03:57:48.352', '18 Aug 2018 04:10:37.191'),)"
1,6,Satellite1,"(('18 Aug 2018 04:07:58.279', '18 Aug 2018 04:21:49.028'),)"
1,6,Satellite2,"(('18 Aug 2018 03:46:46.937', '18 Aug 2018 04:00:49.496'),)"
1,6,Satellite3,"(('18 Aug 2018 04:36:57.204', '18 Aug 2018 04:44:59.000'),)"
1,6,Satellite5,"(('18 Aug 2018 04:15:34.216', '18 Aug 2018 04:30:19.595'),)"
1,6,Satellite6,"(('18 Aug 2018 04:03:42.463', '18 Aug 2018 04:15:43.822'),)"
1,7,Satellite1,"(('18 Aug 2018 03:59:33.793', '18 Aug 2018 04:11:53.605'),)"
1,7,Satellite2,"(('18 Aug 2018 03:45:00.000', '18 Aug 2018 03:51:28.868'),)"
1,7,Satellite3,"(('18 Aug 2018 04:28:20.535', '18 Aug 2018 04:39:36.108'),)"
1,7,Satellite5,"(('18 Aug 2018 04:06:25.360', '18 Aug 2018 04:21:01.899'),)"
1,7,Satellite6,"(('18 Aug 2018 03:54:18.416', '18 Aug 2018 04:07:21.844'),)"
1,7,Satellite7,"(('18 Aug 2018 04:41:32.688', '18 Aug 2018 04:44:59.000'),)"
