batch_id,task_id,latitude,longitude,satellite,intervals
1,1,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:10:46.633'),)"
1,1,,,Satellite3,"(('18 Aug 2018 04:25:40.653', '18 Aug 2018 04:39:42.167'),)"
1,1,,,Satellite5,"(('18 Aug 2018 04:04:35.328', '18 Aug 2018 04:19:02.871'),)"
1,1,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:04:33.626'),)"
1,1,,,Satellite7,"(('18 Aug 2018 04:39:17.488', '18 Aug 2018 04:52:20.381'),)"
1,2,,,Satellite1,"(('18 Aug 2018 04:06:18.350', '18 Aug 2018 04:19:21.829'),)"
1,2,,,Satellite3,"(('18 Aug 2018 04:35:38.437', '18 Aug 2018 04:46:49.951'),)"
1,2,,,Satellite5,"(('18 Aug 2018 04:13:29.836', '18 Aug 2018 04:28:17.514'),)"
1,2,,,Satellite6,"(('18 Aug 2018 04:01:19.137', '18 Aug 2018 04:14:11.476'),)"
1,2,,,Satellite7,"(('18 Aug 2018 04:48:23.394', '18 Aug 2018 04:59:59.000'),)"
1,3,,,Satellite1,"(('18 Aug 2018 04:04:35.619', '18 Aug 2018 04:15:50.512'),)"
1,3,,,Satellite3,"(('18 Aug 2018 04:32:10.081', '18 Aug 2018 04:45:41.161'),)"
1,3,,,Satellite5,"(('18 Aug 2018 04:13:01.243', '18 Aug 2018 04:22:55.516'),)"
1,3,,,Satellite7,"(('18 Aug 2018 04:46:19.899', '18 Aug 2018 04:57:18.907'),)"
1,4,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:06:47.950'),)"
1,4,,,Satellite3,"(('18 Aug 2018 04:23:41.863', '18 Aug 2018 04:34:38.607'),)"
1,4,,,Satellite4,"(('18 Aug 2018 04:33:20.430', '18 Aug 2018 04:43:25.781'),)"
1,4,,,Satellite5,"(('18 Aug 2018 04:02:01.695', '18 Aug 2018 04:16:04.830'),)"
1,4,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:02:45.828'),)"
1,4,,,Satellite7,"(('18 Aug 2018 04:37:15.873', '18 Aug 2018 04:48:13.078'),)"
1,5,,,Satellite1,"(('18 Aug 2018 04:00:30.856', '18 Aug 2018 04:13:03.952'),)"
1,5,,,Satellite3,"(('18 Aug 2018 04:29:20.812', '18 Aug 2018 04:40:47.482'),)"
1,5,,,Satellite5,"(('18 Aug 2018 04:07:26.315', '18 Aug 2018 04:22:08.189'),)"
1,5,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:08:21.640'),)"
1,5,,,Satellite7,"(('18 Aug 2018 04:42:30.002', '18 Aug 2018 04:54:21.451'),)"
1,6,,,Satellite1,"(('18 Aug 2018 04:01:04.842', '18 Aug 2018 04:11:37.143'),)"
1,6,,,Satellite3,"(('18 Aug 2018 04:30:32.443', '18 Aug 2018 04:38:22.642'),)"
1,6,,,Satellite4,"(('18 Aug 2018 04:40:07.450', '18 Aug 2018 04:46:52.173'),)"
1,6,,,Satellite5,"(('18 Aug 2018 04:07:37.630', '18 Aug 2018 04:21:18.669'),)"
1,6,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:08:00.578'),)"
1,6,,,Satellite7,"(('18 Aug 2018 04:43:13.036', '18 Aug 2018 04:52:45.145'),)"
1,7,,,Satellite4,"(('18 Aug 2018 04:43:58.885', '18 Aug 2018 04:55:26.506'),)"
1,8,,,Satellite1,"(('18 Aug 2018 04:06:38.416', '18 Aug 2018 04:20:23.778'),)"
1,8,,,Satellite3,"(('18 Aug 2018 04:35:07.059', '18 Aug 2018 04:48:57.017'),)"
1,8,,,Satellite5,"(('18 Aug 2018 04:14:29.763', '18 Aug 2018 04:28:32.027'),)"
1,8,,,Satellite6,"(('18 Aug 2018 04:03:09.390', '18 Aug 2018 04:13:21.376'),)"
1,8,,,Satellite7,"(('18 Aug 2018 04:48:33.824', '18 Aug 2018 04:59:59.000'),)"
1,9,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:08:50.990'),)"
1,9,,,Satellite3,"(('18 Aug 2018 04:27:56.401', '18 Aug 2018 04:35:47.664'),)"
1,9,,,Satellite4,"(('18 Aug 2018 04:36:38.466', '18 Aug 2018 04:46:03.123'),)"
1,9,,,Satellite5,"(('18 Aug 2018 04:05:18.723', '18 Aug 2018 04:18:36.918'),)"
1,9,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:05:27.725'),)"
1,9,,,Satellite7,"(('18 Aug 2018 04:40:55.896', '18 Aug 2018 04:50:03.083'),)"
1,10,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:09:27.046'),)"
1,10,,,Satellite3,"(('18 Aug 2018 04:25:11.950', '18 Aug 2018 04:37:34.544'),)"
1,10,,,Satellite4,"(('18 Aug 2018 04:36:38.900', '18 Aug 2018 04:42:10.765'),)"
1,10,,,Satellite5,"(('18 Aug 2018 04:03:37.892', '18 Aug 2018 04:18:24.072'),)"
1,10,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:04:42.960'),)"
1,10,,,Satellite7,"(('18 Aug 2018 04:38:40.674', '18 Aug 2018 04:50:53.880'),)"
1,11,,,Satellite1,"(('18 Aug 2018 04:02:56.650', '18 Aug 2018 04:16:19.502'),)"
1,11,,,Satellite3,"(('18 Aug 2018 04:31:42.887', '18 Aug 2018 04:44:21.931'),)"
1,11,,,Satellite5,"(('18 Aug 2018 04:10:10.945', '18 Aug 2018 04:25:01.964'),)"
1,11,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:10:46.843'),)"
1,11,,,Satellite7,"(('18 Aug 2018 04:44:54.371', '18 Aug 2018 04:57:34.625'),)"
1,12,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:11:34.706'),)"
1,12,,,Satellite3,"(('18 Aug 2018 04:27:33.568', '18 Aug 2018 04:39:30.155'),)"
1,12,,,Satellite5,"(('18 Aug 2018 04:05:49.826', '18 Aug 2018 04:20:35.037'),)"
1,12,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:06:49.646'),)"
1,12,,,Satellite7,"(('18 Aug 2018 04:40:52.135', '18 Aug 2018 04:52:56.608'),)"
1,13,,,Satellite1,"(('18 Aug 2018 04:04:48.502', '18 Aug 2018 04:17:54.221'),)"
1,13,,,Satellite3,"(('18 Aug 2018 04:32:54.803', '18 Aug 2018 04:46:58.197'),)"
1,13,,,Satellite5,"(('18 Aug 2018 04:12:46.531', '18 Aug 2018 04:25:42.327'),)"
1,13,,,Satellite6,"(('18 Aug 2018 04:02:01.225', '18 Aug 2018 04:09:50.437'),)"
1,13,,,Satellite7,"(('18 Aug 2018 04:46:38.777', '18 Aug 2018 04:59:13.600'),)"
1,14,,,Satellite1,"(('18 Aug 2018 04:10:14.331', '18 Aug 2018 04:23:19.361'),)"
1,14,,,Satellite2,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:01:38.484'),)"
1,14,,,Satellite3,"(('18 Aug 2018 04:38:17.134', '18 Aug 2018 04:52:18.416'),)"
1,14,,,Satellite5,"(('18 Aug 2018 04:18:50.420', '18 Aug 2018 04:30:54.411'),)"
1,14,,,Satellite6,"(('18 Aug 2018 04:09:07.363', '18 Aug 2018 04:14:02.591'),)"
1,14,,,Satellite7,"(('18 Aug 2018 04:52:08.228', '18 Aug 2018 04:59:59.000'),)"
1,15,,,Satellite4,"(('18 Aug 2018 04:41:50.209', '18 Aug 2018 04:52:51.281'),)"
1,15,,,Satellite5,"(('18 Aug 2018 04:15:15.870', '18 Aug 2018 04:19:23.691'),)"
1,15,,,Satellite6,"(('18 Aug 2018 04:01:02.994', '18 Aug 2018 04:08:19.701'),)"
1,16,,,Satellite1,"(('18 Aug 2018 04:08:34.183', '18 Aug 2018 04:17:29.561'),)"
1,16,,,Satellite4,"(('18 Aug 2018 04:48:34.575', '18 Aug 2018 04:51:58.316'),)"
1,16,,,Satellite5,"(('18 Aug 2018 04:14:43.676', '18 Aug 2018 04:27:38.767'),)"
1,16,,,Satellite6,"(('18 Aug 2018 04:01:55.600', '18 Aug 2018 04:14:22.718'),)"
1,16,,,Satellite7,"(('18 Aug 2018 04:51:10.918', '18 Aug 2018 04:58:02.167'),)"
1,17,,,Satellite1,"(('18 Aug 2018 04:07:13.286', '18 Aug 2018 04:20:01.052'),)"
1,17,,,Satellite3,"(('18 Aug 2018 04:35:11.529', '18 Aug 2018 04:49:11.458'),)"
1,17,,,Satellite5,"(('18 Aug 2018 04:15:34.840', '18 Aug 2018 04:27:35.193'),)"
1,17,,,Satellite6,"(('18 Aug 2018 04:05:46.544', '18 Aug 2018 04:10:44.772'),)"
1,17,,,Satellite7,"(('18 Aug 2018 04:49:03.908', '18 Aug 2018 04:59:59.000'),)"
1,18,,,Satellite1,"(('18 Aug 2018 04:05:33.132', '18 Aug 2018 04:17:19.013'),)"
1,18,,,Satellite3,"(('18 Aug 2018 04:33:14.121', '18 Aug 2018 04:46:56.760'),)"
1,18,,,Satellite5,"(('18 Aug 2018 04:13:59.645', '18 Aug 2018 04:24:32.761'),)"
