batch_id,task_id,arrival_time_seconds,observable_by_satellites,reward,observation_duration,memory_usage,latitude,longitude
1,2,2761,Satellite3,14,10,15,52.89496245142072,101.88064545448029
1,3,1916,Satellite5,5,7,11,50.4945630737697,80.89055803774035
1,4,1250,Satellite6,14,12,9,5.738661550447052,124.2462052162254
1,5,2912,Satellite3,12,10,12,38.79700657305041,117.58928049697002
1,6,392,Satellite2,12,10,8,7.391909901051139,85.96273297029076
1,8,1249,"Satellite1, Satellite5",5,12,7,47.574774622270176,113.05892400146281
1,9,1231,Satellite1,15,13,14,42.70049788825328,75.45526509898808
1,11,66,Satellite2,11,11,8,24.4255728595871,116.16354324942702
1,12,1669,Satellite1,6,9,6,17.292275672028545,77.12031189298779
1,13,1480,Satellite5,15,5,5,42.79628207257278,126.12284074833212
1,14,1115,Satellite6,15,10,9,18.320330583769387,102.4760355506801
1,15,1318,"Satellite1, Satellite5",15,10,13,45.20351568706348,113.50016563968902
1,16,372,Satellite2,8,10,9,16.51442808869694,83.42072057136637
1,18,313,Satellite2,7,15,10,13.293412826673286,108.15267023487225
1,22,1063,Satellite6,11,13,8,26.483735134497874,127.95730109340053
1,23,143,Satellite2,13,7,13,12.797933998974862,81.16703813195
1,24,1803,Satellite5,15,5,8,49.80665959598211,109.87607154282273
1,26,1281,"Satellite1, Satellite5",10,11,15,46.81284863909505,92.64361626377986
1,29,1699,Satellite1,7,11,7,17.84751244606865,75.60412921105879
1,30,3235,Satellite3,12,8,7,32.59699115219784,96.96610120024035
1,31,1555,Satellite5,14,15,10,42.437305419906934,125.7050480972176
1,32,1555,Satellite5,11,10,12,50.63663764307416,121.16404819117241
1,33,2161,Satellite5,10,14,12,17.904114814459263,105.2409605055216
1,35,1273,"Satellite6, Satellite1",14,11,11,18.74150489900993,107.08824812661817
1,38,744,Satellite6,10,10,7,38.05454312185145,109.17106406673598
1,40,551,Satellite2,9,5,15,18.390723342184376,93.51869169872457
1,43,3483,Satellite7,7,6,15,50.62998337567877,101.6763670357642
1,44,2993,Satellite3,12,6,10,45.39922930479826,88.70683212907053
1,46,504,Satellite2,7,8,6,15.103855902392645,103.14901738088709
1,51,2303,Satellite5,5,6,15,11.59754722793249,115.79344590952385
1,52,3343,Satellite3,6,15,12,22.931537276431467,89.41212026650476
1,55,1476,"Satellite6, Satellite1",12,8,12,28.658054902659778,93.63603717718594
1,56,3431,Satellite7,8,5,10,45.82301842361846,108.3640572020086
1,57,1826,Satellite5,13,13,12,43.71681794378161,102.1147880152616
1,60,494,Satellite2,14,10,5,7.578847455751644,84.1661473161363
1,61,2870,Satellite3,5,13,13,46.24536955439526,126.61497310531466
1,62,3457,"Satellite7, Satellite4",9,15,8,50.246197635531004,116.81202498877744
1,67,1545,"Satellite1, Satellite5",14,14,10,32.127649420448215,113.5304099581849
1,69,2699,Satellite5,13,8,14,4.326293144619806,77.39012273022347
1,70,1864,Satellite5,12,15,9,46.63647832459309,96.18429301922784
