batch_id,task_id,latitude,longitude,satellite,intervals
1,1,,,Satellite1,"(('18 Aug 2018 04:00:14.657', '18 Aug 2018 04:05:14.049'),)"
1,1,,,Satellite4,"(('18 Aug 2018 04:35:41.819', '18 Aug 2018 04:46:54.698'),)"
1,1,,,Satellite5,"(('18 Aug 2018 04:05:41.896', '18 Aug 2018 04:16:20.588'),)"
1,1,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:03:41.918'),)"
1,1,,,Satellite7,"(('18 Aug 2018 04:43:14.010', '18 Aug 2018 04:45:31.864'),)"
1,2,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:11:09.670'),)"
1,2,,,Satellite3,"(('18 Aug 2018 04:26:03.218', '18 Aug 2018 04:39:55.810'),)"
1,2,,,Satellite5,"(('18 Aug 2018 04:04:53.713', '18 Aug 2018 04:19:32.590'),)"
1,2,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:05:10.505'),)"
1,2,,,Satellite7,"(('18 Aug 2018 04:39:37.608', '18 Aug 2018 04:52:41.320'),)"
1,3,,,Satellite1,"(('18 Aug 2018 04:07:04.861', '18 Aug 2018 04:20:22.999'),)"
1,3,,,Satellite3,"(('18 Aug 2018 04:35:15.313', '18 Aug 2018 04:49:18.484'),)"
1,3,,,Satellite5,"(('18 Aug 2018 04:15:14.351', '18 Aug 2018 04:28:11.248'),)"
1,3,,,Satellite6,"(('18 Aug 2018 04:04:36.002', '18 Aug 2018 04:12:13.840'),)"
1,3,,,Satellite7,"(('18 Aug 2018 04:48:57.386', '18 Aug 2018 04:59:59.000'),)"
1,4,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:06:47.654'),)"
1,4,,,Satellite3,"(('18 Aug 2018 04:23:54.272', '18 Aug 2018 04:34:34.362'),)"
1,4,,,Satellite4,"(('18 Aug 2018 04:33:27.475', '18 Aug 2018 04:43:37.985'),)"
1,4,,,Satellite5,"(('18 Aug 2018 04:02:11.112', '18 Aug 2018 04:16:07.647'),)"
1,4,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:02:50.429'),)"
1,4,,,Satellite7,"(('18 Aug 2018 04:37:27.112', '18 Aug 2018 04:48:11.840'),)"
1,5,,,Satellite1,"(('18 Aug 2018 04:04:05.145', '18 Aug 2018 04:17:45.293'),)"
1,5,,,Satellite3,"(('18 Aug 2018 04:32:34.865', '18 Aug 2018 04:46:15.575'),)"
1,5,,,Satellite5,"(('18 Aug 2018 04:11:39.494', '18 Aug 2018 04:26:03.238'),)"
1,5,,,Satellite6,"(('18 Aug 2018 04:00:03.721', '18 Aug 2018 04:11:13.119'),)"
1,5,,,Satellite7,"(('18 Aug 2018 04:45:59.596', '18 Aug 2018 04:59:01.422'),)"
1,6,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:11:14.117'),)"
1,6,,,Satellite3,"(('18 Aug 2018 04:26:10.013', '18 Aug 2018 04:40:12.985'),)"
1,6,,,Satellite5,"(('18 Aug 2018 04:05:09.057', '18 Aug 2018 04:19:26.536'),)"
1,6,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:04:49.749'),)"
1,6,,,Satellite7,"(('18 Aug 2018 04:39:47.548', '18 Aug 2018 04:52:47.606'),)"
1,7,,,Satellite1,"(('18 Aug 2018 04:02:21.619', '18 Aug 2018 04:15:42.913'),)"
1,7,,,Satellite3,"(('18 Aug 2018 04:31:03.745', '18 Aug 2018 04:43:49.896'),)"
1,7,,,Satellite5,"(('18 Aug 2018 04:09:35.206', '18 Aug 2018 04:24:23.832'),)"
1,7,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:10:08.076'),)"
1,7,,,Satellite7,"(('18 Aug 2018 04:44:18.426', '18 Aug 2018 04:56:59.959'),)"
1,8,,,Satellite4,"(('18 Aug 2018 04:40:05.803', '18 Aug 2018 04:51:07.407'),)"
1,8,,,Satellite5,"(('18 Aug 2018 04:12:04.108', '18 Aug 2018 04:18:52.246'),)"
1,8,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:07:03.276'),)"
1,9,,,Satellite1,"(('18 Aug 2018 04:07:04.415', '18 Aug 2018 04:18:18.090'),)"
1,9,,,Satellite3,"(('18 Aug 2018 04:34:34.984', '18 Aug 2018 04:48:04.333'),)"
1,9,,,Satellite5,"(('18 Aug 2018 04:15:54.177', '18 Aug 2018 04:25:15.144'),)"
1,9,,,Satellite7,"(('18 Aug 2018 04:48:50.492', '18 Aug 2018 04:59:38.335'),)"
1,10,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:09:27.112'),)"
1,10,,,Satellite3,"(('18 Aug 2018 04:25:19.070', '18 Aug 2018 04:39:07.384'),)"
1,10,,,Satellite5,"(('18 Aug 2018 04:04:36.725', '18 Aug 2018 04:17:09.513'),)"
1,10,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:01:46.306'),)"
1,10,,,Satellite7,"(('18 Aug 2018 04:39:07.157', '18 Aug 2018 04:51:09.377'),)"
1,11,,,Satellite4,"(('18 Aug 2018 04:40:52.955', '18 Aug 2018 04:52:14.142'),)"
1,11,,,Satellite6,"(('18 Aug 2018 04:01:14.770', '18 Aug 2018 04:06:08.583'),)"
1,12,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:07:19.682'),)"
1,12,,,Satellite3,"(('18 Aug 2018 04:25:25.620', '18 Aug 2018 04:34:45.234'),)"
1,12,,,Satellite4,"(('18 Aug 2018 04:34:32.840', '18 Aug 2018 04:44:42.191'),)"
1,12,,,Satellite5,"(('18 Aug 2018 04:03:22.029', '18 Aug 2018 04:16:53.497'),)"
1,12,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:03:42.188'),)"
1,12,,,Satellite7,"(('18 Aug 2018 04:38:47.740', '18 Aug 2018 04:48:38.682'),)"
1,13,,,Satellite1,"(('18 Aug 2018 04:00:03.001', '18 Aug 2018 04:12:47.148'),)"
1,13,,,Satellite3,"(('18 Aug 2018 04:28:46.894', '18 Aug 2018 04:40:39.187'),)"
1,13,,,Satellite5,"(('18 Aug 2018 04:07:00.284', '18 Aug 2018 04:21:46.499'),)"
1,13,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:07:56.652'),)"
1,13,,,Satellite7,"(('18 Aug 2018 04:42:00.759', '18 Aug 2018 04:54:06.688'),)"
1,14,,,Satellite1,"(('18 Aug 2018 04:00:38.766', '18 Aug 2018 04:10:30.921'),)"
1,14,,,Satellite3,"(('18 Aug 2018 04:30:12.968', '18 Aug 2018 04:37:03.193'),)"
1,14,,,Satellite4,"(('18 Aug 2018 04:38:49.101', '18 Aug 2018 04:47:05.471'),)"
1,14,,,Satellite5,"(('18 Aug 2018 04:07:04.668', '18 Aug 2018 04:20:22.284'),)"
1,14,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:07:11.705'),)"
1,14,,,Satellite7,"(('18 Aug 2018 04:42:49.011', '18 Aug 2018 04:51:37.364'),)"
1,15,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:12:11.077'),)"
1,15,,,Satellite3,"(('18 Aug 2018 04:27:28.344', '18 Aug 2018 04:40:27.275'),)"
1,15,,,Satellite5,"(('18 Aug 2018 04:06:01.238', '18 Aug 2018 04:20:54.737'),)"
1,15,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:06:52.290'),)"
1,15,,,Satellite7,"(('18 Aug 2018 04:40:52.903', '18 Aug 2018 04:53:36.016'),)"
1,16,,,Satellite1,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:11:35.307'),)"
1,16,,,Satellite3,"(('18 Aug 2018 04:27:27.325', '18 Aug 2018 04:41:15.177'),)"
1,16,,,Satellite5,"(('18 Aug 2018 04:07:06.563', '18 Aug 2018 04:19:11.057'),)"
1,16,,,Satellite6,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:03:15.545'),)"
1,16,,,Satellite7,"(('18 Aug 2018 04:41:19.372', '18 Aug 2018 04:53:13.452'),)"
1,17,,,Satellite1,"(('18 Aug 2018 04:09:14.710', '18 Aug 2018 04:23:10.408'),)"
1,17,,,Satellite2,"(('18 Aug 2018 04:00:00.000', '18 Aug 2018 04:01:51.315'),)"
